Movie_Title,Year,Rating,Runtime(Mins),main_genre
Kantara,2022,9.3,148,Action
The Dark Knight,2008,9.0,152,Action
The Lord of the Rings: The Return of the King,2003,9.0,201,Action
Inception,2010,8.8,148,Action
The Lord of the Rings: The Two Towers,2002,8.8,179,Action
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,178,Action
The Matrix,1999,8.7,136,Action
The Empire Strikes Back,1980,8.7,124,Action
Terminator 2: Judgment Day,1991,8.6,137,Action
Star Wars,1977,8.6,121,Action
Seppuku,1962,8.6,133,Action
Shichinin no samurai,1954,8.6,207,Action
Kaithi,2019,8.5,145,Action
Asuran,2019,8.5,141,Action
Sita Ramam,2022,8.5,163,Action
Gladiator,2000,8.5,155,Action
Léon,1994,8.5,110,Action
Vikram,2022,8.4,175,Action
Spider-Man: Into the Spider-Verse,2018,8.4,117,Animation
Avengers: Endgame,2019,8.4,181,Action
Avengers: Infinity War,2018,8.4,149,Action
Top Gun: Maverick,2022,8.4,130,Action
The Dark Knight Rises,2012,8.4,164,Action
K.G.F: Chapter 2,2022,8.4,168,Action
Shershaah,2021,8.4,135,Action
Oldeuboi,2003,8.4,101,Action
Mononoke-hime,1997,8.4,134,Animation
Aliens,1986,8.4,137,Action
Raiders of the Lost Ark,1981,8.4,115,Action
Vikram Vedha,2017,8.3,147,Action
Dangal,2016,8.3,161,Action
Spider-Man: No Way Home,2021,8.3,148,Action
Heat,1995,8.3,170,Action
Star Wars: Episode VI - Return of the Jedi,1983,8.3,131,Action
North by Northwest,1959,8.3,136,Action
Major,2022,8.2,150,Action
1917,2019,8.2,119,Action
Uri: The Surgical Strike,2019,8.2,138,Action
K.G.F: Chapter 1,2018,8.2,156,Action
Dag II,2016,8.2,135,Action
Baahubali 2: The Conclusion,2017,8.2,167,Action
Gangs of Wasseypur,2012,8.2,321,Action
Paan Singh Tomar,2012,8.2,135,Action
Warrior,2011,8.2,140,Action
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,8.2,117,Animation
V for Vendetta,2005,8.2,132,Action
Batman Begins,2005,8.2,140,Action
Kill Bill: Vol. 1,2003,8.2,111,Action
"Lock, Stock and Two Smoking Barrels",1998,8.2,107,Action
Jurassic Park,1993,8.2,127,Action
Indiana Jones and the Last Crusade,1989,8.2,127,Action
Die Hard,1988,8.2,132,Action
Ran,1985,8.2,162,Action
Yôjinbô,1961,8.2,110,Action
The General,1926,8.2,67,Action
Sherlock Jr.,1924,8.2,45,Action
Everything Everywhere All at Once,2022,8.1,139,Action
Bajrangi Bhaijaan,2015,8.1,163,Action
Logan,2017,8.1,137,Action
Rush,2013,8.1,123,Action
Ford v Ferrari,2019,8.1,152,Action
Mad Max: Fury Road,2015,8.1,120,Action
A Wednesday,2008,8.1,104,Action
How to Train Your Dragon,2010,8.1,98,Animation
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,143,Action
Hera Pheri,2000,8.1,156,Action
